time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2022-05-18 00:00:00,14.7,8.9,68,0,,77,7.4,13,1022.5,,2
2022-05-18 01:00:00,14.3,7.6,64,0,,86,9.3,18.5,1023.1,,2
2022-05-18 02:00:00,13.7,6.3,61,0,,89,13,22.2,1023.6,,2
2022-05-18 03:00:00,13.2,5.4,59,0,,96,13,24.1,1024.4,,2
2022-05-18 04:00:00,12.8,4.5,57,0,,99,13,24.1,1024.9,,2
2022-05-18 05:00:00,12.3,4,57,0,,105,14.8,25.9,1025.4,,2
2022-05-18 06:00:00,11.5,4.2,61,0,,99,13,25.9,1025.6,,3
2022-05-18 07:00:00,12.2,4.4,59,0,,110,14.8,25.9,1026.1,,3
2022-05-18 08:00:00,13.1,4.3,55,0,,120,16.7,27.8,1026.3,,3
2022-05-18 09:00:00,14.7,4.4,50,0,,125,16.7,29.6,1026.4,,3
2022-05-18 10:00:00,16.4,4.7,46,0,,129,18.5,29.6,1026.3,,3
2022-05-18 11:00:00,18.3,5.5,43,0,,133,18.5,29.6,1026.2,,3
2022-05-18 12:00:00,19.8,5.4,39,0,,136,16.7,31.5,1026.2,,2
2022-05-18 13:00:00,21.2,5.9,37,0,,144,18.5,33.3,1025.7,,2
2022-05-18 14:00:00,22.7,6.5,35,0,,146,18.5,35.2,1025.2,,2
2022-05-18 15:00:00,23.7,6.9,34,0,,151,18.5,33.3,1024.5,,2
2022-05-18 16:00:00,24.5,6.7,32,0,,156,18.5,33.3,1023.8,,2
2022-05-18 17:00:00,24.9,7.1,32,0,,160,16.7,33.3,1023.2,,2
2022-05-18 18:00:00,24.8,7,32,0,,162,16.7,31.5,1022.8,,2
2022-05-18 19:00:00,24.2,7.3,34,0,,162,16.7,29.6,1022.6,,2
2022-05-18 20:00:00,23.4,7.5,36,0,,160,14.8,25.9,1022.7,,2
2022-05-18 21:00:00,22.5,7.9,39,0,,152,13,24.1,1022.8,,2
2022-05-18 22:00:00,21.3,8.2,43,0,,145,11.1,22.2,1023.2,,2
2022-05-18 23:00:00,20.3,8.3,46,0,,148,13,22.2,1023.2,,2
2022-05-19 00:00:00,19,9.2,53,0,,147,11.1,18.5,1022.9,,2
2022-05-19 01:00:00,18.4,8.9,54,0,,146,11.1,20.4,1022.7,,2
2022-05-19 02:00:00,17.7,8.8,56,0,,148,11.1,18.5,1022.6,,2
2022-05-19 03:00:00,17.2,8.9,58,0,,151,9.3,18.5,1022.6,,1
2022-05-19 04:00:00,16.6,8.8,60,0,,150,9.3,16.7,1022.4,,1
2022-05-19 05:00:00,16.2,8.9,62,0,,149,9.3,16.7,1022.4,,1
2022-05-19 06:00:00,16.1,9.3,64,0,,142,7.4,14.8,1022.3,,2
2022-05-19 07:00:00,17.5,9.6,60,0,,151,9.3,16.7,1022.3,,2
2022-05-19 08:00:00,19.1,9.6,54,0,,159,11.1,18.5,1022.3,,2
2022-05-19 09:00:00,21.1,9.7,48,0,,168,13,20.4,1021.9,,2
2022-05-19 10:00:00,23.2,9.6,42,0,,177,14.8,24.1,1021.5,,2
2022-05-19 11:00:00,24.9,9.6,38,0,,183,14.8,25.9,1021.1,,2
2022-05-19 12:00:00,26.3,9.2,34,0,,186,16.7,29.6,1020.8,,2
2022-05-19 13:00:00,27.4,9.3,32,0,,193,16.7,33.3,1020.4,,2
2022-05-19 14:00:00,28.1,8.9,30,0,,195,18.5,35.2,1019.8,,2
2022-05-19 15:00:00,28.7,8.4,28,0,,196,20.4,37,1019.2,,2
2022-05-19 16:00:00,29.1,8.2,27,0,,194,20.4,37,1018.3,,2
2022-05-19 17:00:00,29.2,8.3,27,0,,196,18.5,35.2,1017.5,,2
2022-05-19 18:00:00,29.2,7.7,26,0,,189,18.5,33.3,1017.2,,2
2022-05-19 19:00:00,28.2,8,28,0,,194,16.7,31.5,1016.9,,2
2022-05-19 20:00:00,26.9,7.9,30,0,,197,14.8,27.8,1016.9,,2
2022-05-19 21:00:00,25.6,8.1,33,0,,200,11.1,24.1,1016.8,,3
2022-05-19 22:00:00,24.2,9,38,0,,204,9.3,18.5,1017,,3
2022-05-19 23:00:00,23,9.7,43,0,,215,9.3,16.7,1017,,3
2022-05-20 00:00:00,21.9,11.3,51,0,,229,9.3,16.7,1017,,3
2022-05-20 01:00:00,20.9,12.3,58,0,,256,9.3,16.7,1017.6,,2
2022-05-20 02:00:00,19.8,12.6,63,0,,270,9.3,18.5,1017.9,,2
2022-05-20 03:00:00,18.9,12.6,67,0,,271,9.3,20.4,1018.6,,2
2022-05-20 04:00:00,18.2,12.4,69,0,,274,11.1,20.4,1019.2,,2
2022-05-20 05:00:00,17.3,12.4,73,0,,274,13,22.2,1019.7,,2
2022-05-20 06:00:00,17.2,11.9,71,0,,274,14.8,24.1,1020.3,,2
2022-05-20 07:00:00,17.5,12.2,71,0,,275,16.7,25.9,1020.7,,2
2022-05-20 08:00:00,17.8,12.3,70,0,,272,16.7,29.6,1021.1,,2
2022-05-20 09:00:00,18.5,12,66,0,,273,18.5,31.5,1021,,2
2022-05-20 10:00:00,19.2,12,63,0,,273,18.5,31.5,1020.9,,2
2022-05-20 11:00:00,20.1,11.6,58,0,,271,18.5,33.3,1020.7,,2
2022-05-20 12:00:00,21.4,10.8,51,0,,268,18.5,35.2,1021,,3
2022-05-20 13:00:00,22.3,9.8,45,0,,269,20.4,35.2,1020.2,,2
2022-05-20 14:00:00,23,9,41,0,,268,18.5,35.2,1019.4,,2
2022-05-20 15:00:00,23.7,8.5,38,0,,269,16.7,33.3,1018.2,,2
2022-05-20 16:00:00,23.9,8.3,37,0,,268,16.7,31.5,1017,,2
2022-05-20 17:00:00,24.1,8.5,37,0,,268,14.8,29.6,1016.1,,2
2022-05-20 18:00:00,23.9,9.1,39,0,,264,11.1,25.9,1015.1,,3
2022-05-20 19:00:00,22.9,9.7,43,0,,248,11.1,24.1,1014,,7
2022-05-20 20:00:00,21.8,10.9,50,0,,191,11.1,22.2,1012.7,,7
2022-05-20 21:00:00,20.7,12.1,58,0.9,,153,9.3,22.2,1011.4,,25
2022-05-20 22:00:00,19.4,13.3,68,1.1,,149,9.3,20.4,1010.3,,25
2022-05-20 23:00:00,18.5,13.6,73,1.1,,221,14.8,29.6,1009.7,,25
2022-05-21 00:00:00,17.9,13.6,76,1.3,,244,14.8,24.1,1010.5,,7
